Title,URL
Growth Through Acquisitions Wharton Scale School,https://www.youtube.com/watch?v=p0Bx6UtherQ
Fireside Chat Creating a Culture of Innovation Harvard IT Summit 2023,https://www.youtube.com/watch?v=MauiwU_Ri0w
How to Build a Product that Scales into a Company,https://www.youtube.com/watch?v=r-98YRAF1dY
Leading a Technology-Driven Organization Building the Sustainable High Performance Organizations of Tomorrow Mimi Brooks HR Tech 2021,https://www.youtube.com/watch?v=mErEykqfOxE
The Insightful Leader Live Do You Have Executive Presence,https://www.youtube.com/watch?v=a-NCDkev7JI
S02E04 Grit and Growth Masterclass on Effective Corporate Governance,https://www.youtube.com/watch?v=RBKVcTq07qg
So You Want To Be A CTO Simon Raik-Allen YOW 2016,https://www.youtube.com/watch?v=oQjsQCq3aWA
CTO Craft Bytes CTO Fundamentals CTO Strategy,https://www.youtube.com/watch?v=9q8tiUNpOOY
How to Get and Evaluate Startup Ideas Startup School,https://www.youtube.com/watch?v=Th8JoIan4dg
Entry Strategies With real world examples International Business From A Business Professor,https://www.youtube.com/watch?v=_Mgb5jnxcww
Survive in Todays Dynamic Environment with Breakthrough Strategy,https://www.youtube.com/watch?v=mjo8aNfAIrc
CTO panel discussion A day in life,https://www.youtube.com/watch?v=C0NjmZodSpI
No Black Box Machine Learning Course Learn Without Libraries,https://www.youtube.com/watch?v=vDDjtwQDw2k
Generative AI for business,https://www.youtube.com/watch?v=FrDnPTPgEmk
Explaining Blockchain to The Minister,https://www.youtube.com/watch?v=pZDmZgc8TFs
Jason Jackson The Return of Industrial and Technology Policy in China and the US,https://www.youtube.com/watch?v=kkZ9f6r_sJI
Gartners Top 10 Tech Trends for 2023 Gartner IT Symposium Xpo Full Keynote,https://www.youtube.com/watch?v=wup0DCIluvc
ESG and CRS equals BS...Straight Talk on Business for Social Good with Tariq Fancy and Bethany McLean,https://www.youtube.com/watch?v=JqhIh2isYKM
The CTO Talks Series SD Scaling the CTO How to become the right leader at the right stage,https://www.youtube.com/watch?v=fx-9_2TXssE
Metrics for CTO Success,https://www.youtube.com/watch?v=PSaUVCSVaew
Accentures CTO Explains Leadership for Generative AI CXOTalk ep795,https://www.youtube.com/watch?v=bgvvWvcqXBA
